Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
,,,,https://jupyter.org/,Jupyter notebook details,,References,working,,,paper,,
,,,,https://www.aivosto.com/visustin.html,Online project,,References,working,,,organization,,
,,,,https://autoflowchart.informer.com/,Online website,,References,working,,,organization,,
,,,,https://www.tableau.com/products/prep,Related project website,,References,working,,,organization,,
,,,,https://www.rdocumentation.org/packages/,,,References,not working,,,organization,,
,,,,https://www.trifacta.com/products/wrangler-editions/#wrangler,Alteryx website,,References,working,,,organization,,
,,,,https://dribbble.com/yurongt,,,References,working,,,organization,,
,,,,https://dribbble.com/yurongt,Author profile details,,References,working,,,author,,
,,,,http://www.cad.zju.edu.cn/home/chenwei/,Author profile details,,References,working,,,author,,
,,,,http://www.ycwu.org/,Author profile details,,References,working,,,author,,
11,A No-Code Low-Code Paradigm for Authoring Business Automations Using Natural Language,https://arxiv.org/pdf/2207.10648.pdf,,https://github.com/DecisionsDev/odm-for-container-getting-started,Source code of project in github,GitHub,Page footer,working,Y,Y,code,,
,,,,https://huggingface.co/EleutherAI/gpt-neo-2.7B,Model code,,Page footer,working,,Y,code,Y,
,,,,https://www.gartner.com/en/newsroom/press-releases/2021-04-28-gartner-forecasts-worldwide-hyperautomation-enabling-software-market-to-reach-nearly-600-billion-by-2022,Online website,,References,working,,,organization,,
12,CODET: CODE GENERATION WITH GENERATED TESTS,https://arxiv.org/pdf/2207.10397.pdf,,https://github.com/features/copilot,Source code of project in github,,Page footer,working,,,code,,
,,,,https://github.com/microsoft/CodeT,Source code of project in github,,Introduction,working,,,code,,
,,,,https://doi.org/10.5281/zenodo.5297715,DOI of related paper,,References,working,,,paper,,
,,,,https://github.com/kingoflolz/mesh-transformer-jax,Related paper github,GitHub,References,working,Y,,paper,,
,,,,10.5281/ zenodo.5297715,DOI of related paper,,References,working,,,paper,,
13,Language Model Cascades,https://arxiv.org/pdf/2207.10342.pdf,,https://www.alignmentforum.org/posts/qHCDysDnvhteW7kRd/arc-s-first-technical-report-eliciting-latent-knowledge,Related paper website,,References,working,,,paper,,
,,,,https://github.com/google/BIG-bench/,Related paper github code,GitHub,References,working,Y,,paper,,
,,,,https://arxiv.org/abs/2110.14168,DOI of related paper,,References,working,,,paper,,
,,,,https://arxiv.org/abs/2206.05802,DOI of related paper,,References,working,,,paper,,
14,Benchmarking tools for a priori identifiability analysis,https://arxiv.org/pdf/2207.09745.pdf,,https://github.com/sedoglavic/ObservabilityTest,,,Table with needed links,working,,,code,,
,,,,https://www.fcc.chalmers.se/software/other-software/identifiabilityanalysis/,Fraunhofer chalmers website,,Table with needed links,working,,,organization,,
,,,,https://github.com/afvillaverde/strike-goldd,Project needed github code,,Table with needed links,working,,,c,,
,,,,https://pypi.org/project/StrikePy/,Project needed github code,,Table with needed links,working,,,organization,,
,,,,https://eng.ox.ac.uk/non-lineardynamics/resources/,Concept explanation,,Table with needed links,working,,,organization,,
,,,,https://github.com/genssi-developer/GenSSI,Project needed github code,GitHub,Table with needed links,working,Y,,code,,
,,,,https://github.com/pogudingleb/SIAN,Project needed github code,,Table with needed links,working,,,code,,
,,,,https://daisy.dei.unipd.it/,Mathematics concept explanation,,Table with needed links,working,,,organization,,
,,,,http://biocyb1.cs.ucla.edu/combos/,Project related website,,Table with needed links,working,,,organization,,
,,,,https://github.com/SciML/StructuralIdentifiability.jl,Project needed github code,GitHub,Table with needed links,working,Y,,code,,
,,,,https://github.com/Xabo-RB/Benchmarking_files,Source code of project,GitHub,Table with needed links,working,Y,Y,code,Y,
,,,,https://arxiv.org/abs/2207.07346,DOI of related paper,,References,working,,,paper,,
15,Towards Plug’n Play Task-Level Autonomy for Robotics Using POMDPs and Generative Models,https://arxiv.org/pdf/2207.09713.pdf,,https://github.com/orhaimwerthaim/AOS-WebAPI/,Source code of project,,Page footer,working,,,code,,
,,,,https://www.franka.de/robot-system/,Franka website,,References,working,,,organization,,
,,,,http://wiki.ros.org/move_base,Related paper link,,References,working,,,organization,,
,,,,https://emanual.robotis.com/docs/en/platform/turtlebot3/overview/,Related paper link,,References,working,,,paper,,
,,,,https://www.youtube.com/watch?v=8pqZADVBLPM,Related paper link,,References,working,,,paper,,
,,,,https://github.com/ssanner/rddlsim,Related paper link,GitHub,References,working,Y,,paper,,
,,,,https://www.youtube.com/watch?v=R4dBrP7SLe8,Related paper link,,References,working,,,paper,,
,,,,https://github.com/orhaimwerthaim/AOS-experiments/tree/main/armadillo_pick,Related paper link,GitHub,References,working,Y,,paper,,
,,,,https://github.com/orhaimwerthaim/AOS-OtherSystems-ROSPlanExperimentPDDL/,Related paper link,,References,working,,,paper,,
,,,,https://www.youtube.com/watch?v=-2qN4WXdvj4,Related paper link,,References,working,,,paper,,
,,,,https://doi.org/10.1109/RoSE52553.2021.00015,Related paper link,,References,working,,,paper,,17
16,"Towards VEsNA, a Framework for Managing Virtual Environments via Natural Language Agents",https://arxiv.org/pdf/2207.09711.pdf,,https://new.siemens.com/global/en/products/automation/topic-areas/simulation-for-automation.html,Siemens link,,Page footer,working,,,organization,,
,,,,https://github.com/driacats/VEsNA,code,,Page footer,working,,,code,,
,,,,https://github.com/Unity-Technologies/ml-agents,Project neede code,,Page footer,working,,,code,,
,,,,https://github.com/ianhorswill/UnityProlog,Project neede code,,Page footer,working,,,code,,
,,,,https://cloud.google.com/dialogflow/es/docs/agents-multilingual,Project neede code,,Page footer,working,,,code,,
,,,,https://www.robots.com/robots/motoman-ma2010,Related website,,Page footer,working,,,organization,,
,,,,https://github.com/owlcs/owlapi#readme,Project neede code,GitHub,Rereferences,working,Y,,code,,
,,,,https://protege.stanford.edu/,Stanford websoite,,Rereferences,working,,,organization,,
,,,,"http://scholar.google.de/scholar.bib?q=info:xI2JvixH8_QJ:scholar.google.com/&output=citation&hl=de&as_sdt=0,5&ct=citation&cd=1",Related website,,Rereferences,working,,,paper,,
,,,,https://www.w3.org/TR/owl-ref/,Related website,,Rereferences,working,,,paper,,
,,,,https://www.sciencedirect.com/science/article/pii/S2352146514000957,Related website,,Rereferences,working,,,paper,,
