Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package,#
,,,,https://www.dyson.co.uk/en,Dyson website,,References,working,,,organization,,
,,,,https://www.aboutamazon.com/devices/how-alexa-keeps-getting-smarter,Online website,,References,working,,,organization,,
,,,,https://cloud.google.com/speech-to-text,Google link on speech propcessing,,References,working,,,organization,,
,,,,https://www.philips.com.sg/c-p/ACM066_01/fresh-air-mask-series-6000,Philips website,,References,working,,,organization,,
,,,,https://jmlr.org/papers/v9/vandermaaten08a.html,Related paper,,References,working,,,paper,,
20,Comparison-based Conversational Recommender System with Relative Bandit Feedback,https://arxiv.org/pdf/2208.09837.pdf,14,https://dl.acm.org/doi/10.1145/3404835.3462920,Paper DOI,,Abstract,working,,,paper,,
,,,,https://github.com/fffffarmer/RelativeConUCB,Source code of project and data,,Page footer,working,,Y,code,Y,
,,,,https://www.last.fm/,Last website,,Page footer,working,,,organization,,
,,,,https://grouplens.org/,Grouplens website,,Page footer,working,,,organization,,
,,,,https://www.imdb.com/,Project related websites,,Page footer,working,,,project,,
,,,,https://www.rottentomatoes.com/,Project related websites,,Page footer,working,,,project,,
,,,,https://doi.org/10.1145/2043932.2044016,Project related websites,,Page footer,working,,,project,,
,,,,http://jmlr.org/papers/v17/15-471.html,Project related websites,,Page footer,working,,,project,,
,,,,https://proceedings.neurips.cc/paper/2019/hash/5e388103a391daabe3de1d76a6739ccd-Abstract.html,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.24963/ijcai.2018/776,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1145/3209978.3210002,DOI related paper,,References,working,,,paper,,
,,,,https://doi.org/10.1145/3292500.3330991,DOI related paper,,References,working,,,paper,,20
,,,,https://proceedings.neurips.cc/paper/2017/hash/d5e2c0adad503c91f91df240d0cd4e49-Abstract.html,NeuralIPs proceedings,,References,working,,,paper,,
,,,,https://dl.acm.org/doi/10.1145/3394486.3403143,ACM proceedings,,References,working,,,paper,,
