Nr,Title,Paper Link,Link count,In-paper Links,Referenced object,Data source name,Place in Paper,Status,Dataset,Project,Type,Reproduction package
,,,,https://doi.org/10.1016/j.solener.2018.05.089,DOI: ScienceDirect paper link,,References,working,,,paper,
,,,,https://doi.org/10.1016/j.solener.2018.01.095,DOI paper link,,References,working,,,paper,
,,,,https://doi.org/10.1063/1.5098763,DOI paper link,,References,working,,,paper,
,,,,https://doi.org/10.1016/j.energy.2016.06.004,DOI paper link,,References,working,,,paper,
,,,,https://doi.org/10.1016/j.solener.2018.11.010,DOI: ScienceDirect paper link,,References,working,,,paper,
,,,,https://doi.org/10.1016/j.solener.2016.06.069,DOI paper link,,References,working,,,paper,
,,,,https://doi.org/10.1109/ACCESS.2021.3100105,DOI paper link,,References,working,,,paper,
,,,,......165 links,,,,,,,,
16,Recent Advances in Text-to-SQL: A Survey of What We Have and What We Expect,https://arxiv.org/pdf/2208.10099.pdf,1,https://github.com/text-to-sql-survey-coling22/text-to-sql-survey-coling22.github.io,Github link,GitHub,Footer note page,working,Y,Y,project,Y
17,Visualising Model Training via Vowel Space for Text-To-Speech Systems,https://arxiv.org/pdf/2208.09775.pdf,6,https://github.com/babe269/performant,Github link,,Footer note page,working,,,code,
,,,,https://keithito.com/LJ-Speech-Dataset/,Keithito website,,References,working,,,organization,
,,,,https://github.com/TensorSpeech/,Github link,,References,working,,,code,
,,,,https://colab.research.google.com/,Colab Google link,,References,working,,,organization,
,,,,http://www.praat.org/,Praat website,,References,working,,,organization,
,,,,https://plot.ly/,Plot website,,References,working,,,organization,
18,The Development of a Labelled te reo M¯aori-English Bilingual Database for Language Technology,https://arxiv.org/pdf/2208.09778.pdf,15,https://tehiku.nz/te-hiku-tech/papa-reo/,Language platform website,,Footer note page,working,,,organization,
,,,,https://maonze.blogs.auckland.ac.nz/,Blog link,,Footer note page,working,,,blog,
,,,,https://www.parliament.nz/en/pb/hansard-debates/rhr/,Article link,,Footer note page,working,,,blog,
,,,,https://www.parliament.nz/en/pb/hansard-debates/rhr/,Article link,,Footer note page,working,,,blog,
